mata_pelajaran,judul,link,tag
B.Indonesia,"Pengertian Teks Deskripsi, Ciri, Jenis, Contoh & Strukturnya",https://www.brainacademy.id/blog/teks-deskripsi,Deskripsi
B.Indonesia,18 Contoh Teks Deskripsi dan Penjelasan Strukturnya,https://www.brainacademy.id/blog/contoh-teks-deskripsi-dan-strukturnya,"Deskripsi, Eksposisi"
B.Indonesia,"Teks Eksposisi: Pengertian, Jenis, Kebahasaan & Tujuan",https://www.brainacademy.id/blog/teks-eksposisi,Eksposisi
B.Indonesia,18 Contoh Teks Eksposisi Singkat beserta Strukturnya,https://www.brainacademy.id/blog/contoh-teks-eksposisi,Eksposisi
B.Indonesia,"20 Contoh Teks Prosedur Sederhana, Protokol dan Kompleks",https://www.brainacademy.id/blog/contoh-teks-prosedur,Lainnya
B.Indonesia,"Teks Prosedur: Pengertian, Struktur, Ciri, Tujuan, & Jenis",https://www.brainacademy.id/blog/teks-prosedur,Lainnya
B.Indonesia,"PBUB UGM 2024: Jadwal, Syarat, Prosedur, dan Dokumen",https://www.brainacademy.id/blog/pendaftaran-pbub-ugm,Lainnya
B.Indonesia,15 Contoh Naskah Drama Singkat dengan Berbagai Tema,https://www.brainacademy.id/blog/contoh-naskah-drama,Drama
B.Indonesia,"Puisi Rakyat: Pengertian, Jenis, Kaidah Kebahasaan, & Contoh",https://www.brainacademy.id/blog/puisi-rakyat,Puisi
B.Indonesia,"35 Contoh Puisi Rakyat Berdasarkan Jenisnya, Lengkap!",https://www.brainacademy.id/blog/contoh-puisi-rakyat,Puisi
B.Indonesia,"Jurusan Sastra Korea, Buat Kamu Pecinta K-pop dan K-drama!",https://www.brainacademy.id/blog/jurusan-bahasa-korea-dan-prospek-kerja,Drama
B.Indonesia,"Teks Drama: Pengertian, Unsur, Ciri, Struktur, & Kebahasaan",https://www.brainacademy.id/blog/teks-drama,Drama
B.Indonesia,"Apa itu Kalimat Efektif? Ini Pengertian, Ciri-Ciri, & Contoh",https://www.brainacademy.id/blog/cara-memahami-kalimat-efektif,Deskripsi
B.Indonesia,10 Contoh Teks Deskripsi dari Jenis dan Strukturnya,https://www.quipper.com/id/blog/mapel/bahasa-indonesia/contoh-teks-deskripsi/,Deskripsi
B.Indonesia,Contoh Deskripsi Diri untuk Beasiswa 2022,https://www.quipper.com/id/blog/quipper-campus/scholarship/contoh-deskripsi-diri-untuk-beasiswa/,Deskripsi
